날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260522,ALL,연기금 등,003550,LG,22900,185196,162296,2715207850,22042399350,19327191500
20260522,ALL,연기금 등,012330,현대모비스,92222,121891,29669,59149608000,78185012500,19035404500
20260522,ALL,연기금 등,141080,리가켐바이오,49563,144887,95324,7941351300,23227550750,15286199450
20260522,ALL,연기금 등,005380,현대차,155873,178263,22390,101750575500,116308987000,14558411500
20260522,ALL,연기금 등,036930,주성엔지니어링,52745,113484,60739,10540101700,23223558450,12683456750
20260522,ALL,연기금 등,035420,NAVER,51248,107682,56434,10410979750,21904329000,11493349250
20260522,ALL,연기금 등,018260,삼성에스디에스,38132,89127,50995,7392519400,17326348850,9933829450
20260522,ALL,연기금 등,064400,LG씨엔에스,48688,164978,116290,4048310950,13728701650,9680390700
20260522,ALL,연기금 등,079550,LIG디펜스앤에어로스페이스,29718,40049,10331,27372474500,36944179500,9571705000
20260522,ALL,연기금 등,329180,HD현대중공업,33384,46344,12960,22841235500,31636386000,8795150500
20260522,ALL,연기금 등,336260,두산퓨얼셀,13972,98941,84969,1404345600,9965459200,8561113600
20260522,ALL,연기금 등,095610,테스,19719,72435,52716,2534528500,9330020750,6795492250
20260522,ALL,연기금 등,000720,현대건설,99037,143789,44752,14894641150,21578486900,6683845750
20260522,ALL,연기금 등,034020,두산에너빌리티,350084,409628,59544,39548885300,46208987700,6660102400
20260522,ALL,연기금 등,226950,올릭스,12557,50751,38194,2055313450,8447193300,6391879850
20260522,ALL,연기금 등,476830,알지노믹스,1633,40723,39090,238965900,6004639550,5765673650
20260522,ALL,연기금 등,003670,포스코퓨처엠,35061,57816,22755,8564094750,14128337500,5564242750
20260522,ALL,연기금 등,010140,삼성중공업,381441,563304,181863,11186309475,16544692225,5358382750
20260522,ALL,연기금 등,068270,셀트리온,88781,115541,26760,17649136800,22967517000,5318380200
20260522,ALL,연기금 등,006110,삼아알미늄,0,53977,53977,0,5266324450,5266324450
20260522,ALL,연기금 등,000660,SK하이닉스,472175,474839,2664,913917075500,918947753500,5030678000
20260522,ALL,연기금 등,222800,심텍,18460,56364,37904,2396695650,7368282650,4971587000
20260522,ALL,연기금 등,066570,LG전자,251188,273482,22294,59797269500,64688897750,4891628250
20260522,ALL,연기금 등,082920,비츠로셀,9018,95024,86006,471364550,5080107200,4608742650
20260522,ALL,연기금 등,001440,대한전선,145161,227597,82436,8072724900,12633298750,4560573850
20260522,ALL,연기금 등,078600,대주전자재료,8264,33789,25525,1295030600,5349260900,4054230300
