날짜,시장,투자자,티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
20260318,ALL,연기금 등,005935,삼성전자우,0,222076,222076,0,32596950000,32596950000
20260318,ALL,연기금 등,005930,삼성전자,3453009,3601503,148494,708803302800,737501334000,28698031200
20260318,ALL,연기금 등,000270,기아,106180,204110,97930,18464493850,35501883900,17037390050
20260318,ALL,연기금 등,402340,SK스퀘어,21742,43391,21649,13551079500,26966230500,13415151000
20260318,ALL,연기금 등,028260,삼성물산,36423,81033,44610,10917343250,24296860250,13379517000
20260318,ALL,연기금 등,007660,이수페타시스,13250,116956,103706,1638406600,14419761600,12781355000
20260318,ALL,연기금 등,009150,삼성전기,56835,80277,23442,25944321000,36564955500,10620634500
20260318,ALL,연기금 등,032830,삼성생명,17409,56929,39520,4177482500,13728949250,9551466750
20260318,ALL,연기금 등,000150,두산,7404,14771,7367,8775996000,17533990000,8757994000
20260318,ALL,연기금 등,009830,한화솔루션,165500,317324,151824,8349591525,16052700550,7703109025
20260318,ALL,연기금 등,012330,현대모비스,13123,30548,17425,5610050500,13068402000,7458351500
20260318,ALL,연기금 등,051910,LG화학,30866,50936,20070,9808562500,16243485500,6434923000
20260318,ALL,연기금 등,003490,대한항공,247172,496761,249589,6317910075,12714638350,6396728275
20260318,ALL,연기금 등,128940,한미약품,4683,14878,10195,2498051000,7965075000,5467024000
20260318,ALL,연기금 등,336260,두산퓨얼셀,219,120011,119792,9833100,5430033925,5420200825
20260318,ALL,연기금 등,267250,HD현대,4774,21371,16597,1320180750,5913772250,4593591500
20260318,ALL,연기금 등,267260,HD현대일렉트릭,8732,13171,4439,8448099000,12724767000,4276668000
20260318,ALL,연기금 등,278470,에이피알,6479,18064,11585,2337318750,6518661000,4181342250
20260318,ALL,연기금 등,010060,OCI홀딩스,4280,26312,22032,819597450,4856588450,4036991000
20260318,ALL,연기금 등,006650,대한유화,5010,32426,27416,693771500,4541474950,3847703450
20260318,ALL,연기금 등,036570,엔씨소프트,7306,23991,16685,1670835750,5490973000,3820137250
20260318,ALL,연기금 등,018880,한온시스템,247234,1118103,870869,1070376756,4849138634,3778761878
20260318,ALL,연기금 등,226950,올릭스,40,19421,19381,7750400,3761185100,3753434700
20260318,ALL,연기금 등,171090,선익시스템,0,34607,34607,0,3659405650,3659405650
20260318,ALL,연기금 등,377300,카카오페이,32939,90734,57795,1991933750,5498663900,3506730150
20260318,ALL,연기금 등,086790,하나금융지주,59412,89352,29940,6784404100,10204729400,3420325300
20260318,ALL,연기금 등,078600,대주전자재료,2385,30733,28348,279729550,3615315450,3335585900
20260318,ALL,연기금 등,047810,한국항공우주,84503,101264,16761,16605952100,19896883650,3290931550
20260318,ALL,연기금 등,138040,메리츠금융지주,29864,57338,27474,3460107950,6670662250,3210554300
20260318,ALL,연기금 등,015760,한국전력,232810,294704,61894,11486692075,14535193825,3048501750
20260318,ALL,연기금 등,071050,한국금융지주,14839,27341,12502,3545338250,6535946000,2990607750
20260318,ALL,연기금 등,476830,알지노믹스,1768,16901,15133,345840950,3329087650,2983246700
20260318,ALL,연기금 등,087010,펩트론,0,9028,9028,0,2973034500,2973034500
20260318,ALL,연기금 등,010130,고려아연,700,2470,1770,1178870000,4150215500,2971345500
20260318,ALL,연기금 등,005940,NH투자증권,37672,122310,84638,1267523950,4150157975,2882634025
20260318,ALL,연기금 등,489790,한화비전,30548,64689,34141,2553801100,5415899850,2862098750
20260318,ALL,연기금 등,006400,삼성SDI,43305,50233,6928,17301154500,20071128750,2769974250
20260318,ALL,연기금 등,009420,한올바이오파마,5349,53204,47855,302035900,3023243650,2721207750
20260318,ALL,연기금 등,006360,GS건설,15632,121436,105804,390320075,3084414075,2694094000
20260318,ALL,연기금 등,000880,한화,7586,28995,21409,947208800,3623029250,2675820450
20260318,ALL,연기금 등,039490,키움증권,8975,14575,5600,4199201000,6817762750,2618561750
20260318,ALL,연기금 등,062040,산일전기,660,17719,17059,101216900,2718785950,2617569050
20260318,ALL,연기금 등,000810,삼성화재,2838,7921,5083,1400723250,3921466000,2520742750
20260318,ALL,연기금 등,001820,삼화콘덴서,0,39876,39876,0,2451750100,2451750100
20260318,ALL,연기금 등,011780,금호석유화학,23553,40570,17017,3067131850,5483189000,2416057150
20260318,ALL,연기금 등,139480,이마트,1090,26029,24939,104875600,2506540900,2401665300
20260318,ALL,연기금 등,272210,한화시스템,130914,147874,16960,18166227400,20499493150,2333265750
20260318,ALL,연기금 등,086520,에코프로,78606,93661,15055,12019943350,14323627400,2303684050
20260318,ALL,연기금 등,000250,삼천당제약,8580,11490,2910,6601400000,8849203500,2247803500
20260318,ALL,연기금 등,005850,에스엘,992,32904,31912,67242950,2231315150,2164072200
20260318,ALL,연기금 등,483650,달바글로벌,3074,16801,13727,483431000,2640793950,2157362950
20260318,ALL,연기금 등,112610,씨에스윈드,1288,37387,36099,75976700,2207215550,2131238850
20260318,ALL,연기금 등,036460,한국가스공사,5299,61969,56670,192872850,2248980175,2056107325
20260318,ALL,연기금 등,017670,SK텔레콤,59355,83785,24430,4809167400,6800028000,1990860600
20260318,ALL,연기금 등,183300,코미코,706,16705,15999,84388400,1997106000,1912717600
20260318,ALL,연기금 등,000660,SK하이닉스,309493,314114,4621,317766752500,319653875500,1887123000
20260318,ALL,연기금 등,064760,티씨케이,0,8001,8001,0,1884086750,1884086750
20260318,ALL,연기금 등,393890,더블유씨피,0,133360,133360,0,1878676085,1878676085
20260318,ALL,연기금 등,077970,STX엔진,12967,66210,53243,454196075,2323814275,1869618200
20260318,ALL,연기금 등,298020,효성티앤씨,232,5153,4921,88306750,1936560250,1848253500
20260318,ALL,연기금 등,103590,일진전기,1409,22611,21202,115468200,1843791400,1728323200
20260318,ALL,연기금 등,298040,효성중공업,1331,1979,648,3619061500,5343568500,1724507000
20260318,ALL,연기금 등,403870,HPSP,68223,103404,35181,3376331750,5093409100,1717077350
20260318,ALL,연기금 등,007810,코리아써키트,0,28727,28727,0,1673177850,1673177850
20260318,ALL,연기금 등,078350,한양디지텍,0,55949,55949,0,1489372500,1489372500
20260318,ALL,연기금 등,024110,기업은행,15355,77888,62533,364632850,1848492225,1483859375
20260318,ALL,연기금 등,023530,롯데쇼핑,495,14109,13614,52107400,1486291800,1434184400
20260318,ALL,연기금 등,082920,비츠로셀,5072,53199,48127,143851250,1533444450,1389593200
20260318,ALL,연기금 등,298380,에이비엘바이오,479,7101,6622,93606400,1392771750,1299165350
20260318,ALL,연기금 등,003160,디아이,0,34795,34795,0,1288127525,1288127525
20260318,ALL,연기금 등,047040,대우건설,2770672,2880455,109783,39959458960,41226459385,1267000425
20260318,ALL,연기금 등,200470,에이팩트,0,156028,156028,0,1260832570,1260832570
20260318,ALL,연기금 등,052690,한전기술,15073,21988,6915,2603544050,3809004800,1205460750
20260318,ALL,연기금 등,067310,하나마이크론,56701,90979,34278,1924097100,3109443275,1185346175
